scode,name,IndustryName,IndustryCode,Listed date,Listed year,year,business,DYNA,MUNI,liva,收入熵系数,差异化战略词频占比1,差异化战略词频占比2,成本领先战略占比1,成本领先战略占比2,组织规模,ESG综合评级,ESG综合得分,数字化转型词频占比1,数字化转型词频占比2,成本黏性
65,北方国际,土木工程建筑业,E48,1998/6/5,1998,2023,1,0.0023,0.1788,0.1200009337488685,1.19724194457154,0.00359568517778666,0.00617159453027308,0.00709736551432399,0.0121818401839377,14.6809096839759,BB,79.95,0.000484751057544508,0.000993335314343932,-0.083928782
65,北方国际,土木工程建筑业,E48,1998/6/5,1998,2024,1,0.0022,0.1814,-0.240710075,,,,,,14.7096101859501,BBB,84.32,0.000542565919440554,0.000999461828246329,
90,天健集团,土木工程建筑业,E48,1999/7/21,1999,2014,1,0.0041,0.1523,,0.945311710235065,0.00235950235950236,0.00419107491546411,0.005496567996568,0.0097632995189789,,CCC,66.77,,,0.300567051780561
90,天健集团,土木工程建筑业,E48,1999/7/21,1999,2015,1,0.0038,0.1556,0.261442286426463,0.935245764433997,0.00435151043217369,0.00785026649588894,0.00572567162128118,0.0103292980209065,14.3195426008884,CCC,69.49,0.000401137940733022,0.000699891396162664,-0.25682474
90,天健集团,土木工程建筑业,E48,1999/7/21,1999,2016,1,0.0035,0.1588,-0.723565742,0.923644629089273,0.0060327868852459,0.0107901012549357,0.00566120218579235,0.0101254935689433,14.4725451332884,BB,75.42,0.000392903293402717,0.000689222097992066,2.7774140551176
90,天健集团,土木工程建筑业,E48,1999/7/21,1999,2017,1,0.0033,0.1619,-0.147391459,1.17550792616002,0.0054032419451671,0.00978225426614978,0.00644386631979187,0.0116662439766675,14.7630163821482,CCC,69.86,0.000495146263600235,0.000823711325308169,-0.704809375
90,天健集团,土木工程建筑业,E48,1999/7/21,1999,2018,1,0.0031,0.1649,-0.628255105,1.05507050090115,0.00771807193825542,0.0135619242579324,0.00315518664142517,0.00554418287273968,14.970539532684,B,72.64,0.000577004317228731,0.000989801509447302,-0.10271537
90,天健集团,土木工程建筑业,E48,1999/7/21,1999,2019,1,0.0029,0.1678,0.2288340685975141,0.916797872247788,0.00587992098856172,0.0101034020048938,0.00362901373512793,0.00623569342489541,15.2096086850519,BB,75.17,0.00139697088471473,0.0023363700541231,-0.566444772
90,天健集团,土木工程建筑业,E48,1999/7/21,1999,2020,1,0.0027,0.1706,0.0987717908714994,0.87054406125353,0.00511051810080056,0.00896326386435888,0.00498464327073158,0.00874249381843871,15.4047178694957,B,74.23,0.000489264409777761,0.000954172209734392,-1.49519868
90,天健集团,土木工程建筑业,E48,1999/7/21,1999,2021,1,0.0026,0.1734,-0.07544224,0.876194512149093,0.00515538077882218,0.00903399302491701,0.00546710147707654,0.00958023446363293,15.6043326572124,CCC,69.11,0.000450557383085204,0.000816305034758795,0.35362217270283
90,天健集团,土木工程建筑业,E48,1999/7/21,1999,2022,1,0.0024,0.1761,0.1018316566715129,0.845066358264031,0.00505014240922908,0.00877448330353059,0.00622292429573251,0.0108121595209382,15.7500087900108,CCC,69.84,0.000434938824908757,0.000801924619085806,0.111221945563399
90,天健集团,土木工程建筑业,E48,1999/7/21,1999,2023,1,0.0023,0.1788,-0.247905263,0.864548664074959,0.00485316693903828,0.0084040819826773,0.0054969543901352,0.00951890918446102,15.7539125383678,BB,75.05,0.000341970908390328,0.00064215038981242,-0.129720167
90,天健集团,土木工程建筑业,E48,1999/7/21,1999,2024,1,0.0022,0.1814,-0.138331751,,,,,,15.6702897270864,CCC,66.14,0.000420912072919388,0.000788236253431546,
498,山东路桥,土木工程建筑业,E48,1997/6/9,1997,2014,1,0.0041,0.1523,,0,0.00289961460818499,0.00526772021070881,0.00759772435309231,0.0138027605521104,,CCC,65.66,0.000137618624387167,0.000237998433176982,
498,山东路桥,土木工程建筑业,E48,1997/6/9,1997,2015,1,0.0038,0.1556,0.8026424179742281,0,0.00276762980183771,0.0050065084609993,0.00744492416694343,0.0134675077600881,13.8562572375086,CCC,67.47,0.000215667333138634,0.000364409353173398,
498,山东路桥,土木工程建筑业,E48,1997/6/9,1997,2016,1,0.0035,0.1588,-0.379332283,0,0.00284587979846955,0.00508570352232059,0.00621877437443346,0.0111132039932191,14.2238484391609,CCC,67.05,0.000237215341590092,0.000404378640294558,
