"year","liva_taoyan_cal","rev_entropy_taoyan_cal","diff_freq1_taoyan_cal","cost_freq1_taoyan_cal","DYNA_taoyan_cal","MUNI_taoyan_cal","org_size_taoyan_cal","cost_sticky_taoyan_cal","esg_score_taoyan_cal","digi_freq1_taoyan_cal"
2014,0.407666041671635,0.618071796853297,0.500345100587324,0.95,0.95,0.05,0.450852771731189,0.95,0.05,0.296036550441628
2015,0.95,0.618071796853297,0.337925754865796,0.95,0.95,0.05,0.440594555170048,0.465494744014592,0.05,0.374967137858944
2016,0.372979989242286,0.618071796853297,0.552618968750685,0.95,0.95,0.05,0.439844246441798,0.840289197403649,0.05,0.452485793375747
2017,0.275108655878507,0.618071796853297,0.570191739855741,0.95,0.95,0.05,0.337707011253431,0.677037048355999,0.05,0.52794097372231
2018,0.387737892797773,0.618071796853297,0.368293355211859,0.95,0.95,0.0642857142857147,0.335269763243461,0.906040929833168,0.05,0.576163847895708
2019,0.541011120693629,0.618071796853297,0.369988079065695,0.95,0.86,0.178571428571429,0.399091540590243,0.475809133733537,0.05,0.618285462902212
2020,0.95,0.618071796853297,0.462835406842527,0.853469468297902,0.77,0.289285714285715,0.398387520953543,0.635409824788939,0.05,0.559941554724533
2021,0.05,0.635415386374455,0.488327047635933,0.95,0.71,0.396428571428572,0.419363825448769,0.493086503721956,0.158977035490605,0.487056355213844
2022,0.711005674363916,0.681682330955947,0.724250197463882,0.95,0.65,0.501,0.425731078736227,0.458401426885849,0.05,0.48434559696798
2023,0.309977559165991,0.659513892298342,0.701070450774879,0.95,0.59,0.616517857142858,0.414336553048159,0.431706790827008,0.273590814196241,0.425465373989379
2014,0.407567649650437,0.371138463551741,0.05,0.533638521969139,0.74,0.05,0.557603911384935,0.491464533540577,0.05,0.275856580304877
2015,0.499093983987438,0.34446874015952,0.05,0.702107982808107,0.65,0.167857142857143,0.557603911384935,0.499109884228697,0.0650313152400831,0.05
2016,0.279902303036874,0.413758209125747,0.05,0.338772956794346,0.56,0.282142857142857,0.583981498663744,0.512167944725938,0.13643006263048,0.05
2017,0.784703903131879,0.459840238728106,0.219889288984471,0.153645256159362,0.501,0.392857142857143,0.617119742654756,0.495760791874968,0.164613778705636,0.05
2018,0.454940494051793,0.418020404919931,0.29666869539349,0.250981069414088,0.4,0.501,0.639004581395687,0.497922677915483,0.274530271398747,0.0550228203061581
2019,0.523933431990098,0.657888736915575,0.260025161268379,0.05,0.3,0.616517857142858,0.665018853541391,0.499418571142772,0.277348643006263,0.203560229734446
2020,0.420953910431124,0.754472425603203,0.161259874119185,0.05,0.2,0.729017857142857,0.719201062012006,0.48264583249998,0.05,0.05
2021,0.483842561248722,0.837461719921332,0.248180164496216,0.263882119051524,0.15,0.841517857142857,0.73504423799422,0.522062148931315,0.497181628392484,0.273974092443212
2022,0.828759148546061,0.733388079679536,0.424628698114037,0.41093813317491,0.05,0.95,0.75070480359759,0.904467881552477,0.506911262798634,0.0587969119250851
2023,0.41111516178706,0.51027792138976,0.523813055043525,0.268478551791755,0.05,0.95,0.758809378264367,0.546183152977636,0.550682593856655,0.084442844880568
2014,0.407666041671635,0.937517250265867,0.13141547558613,0.867988314013299,0.95,0.05,0.05,0.473434449361194,0.458663883089771,0.275856580304877
2015,0.95,0.937517250265867,0.380849715204419,0.623193198897848,0.95,0.05,0.05,0.494177497877904,0.0763048016701462,0.46272569438622
2016,0.345992419231848,0.937517250265867,0.732385041113076,0.591302410659267,0.95,0.05,0.110170563850639,0.486808212364544,0.05,0.500894522077295
2017,0.296096001121298,0.937517250265867,0.95,0.533046679602153,0.95,0.05,0.182458714930845,0.479438926951017,0.05,0.542236537020689
2018,0.370436634384441,0.937517250265867,0.483798957710667,0.310435776992006,0.95,0.0642857142857147,0.05,0.403282895400913,0.05,0.602432039265003
2019,0.502722704272217,0.937517250265867,0.304542995225657,0.311594475076919,0.86,0.178571428571429,0.05,0.327126863950643,0.05,0.652191321195451
2020,0.56372500302694,0.937517250265867,0.240356528838834,0.551872483870059,0.77,0.289285714285715,0.05,0.37817633568644,0.05,0.702348558062894
2021,0.571561293059412,0.937517250265867,0.467916865286757,0.61400896193065,0.71,0.396428571428572,0.05,0.05,0.05,0.759105875030713
2022,0.55605169386701,0.937517250265867,0.649527861185799,0.87223954880352,0.65,0.501,0.05,0.390249445681287,0.423903966597077,0.822890302032718
2023,0.525195745984912,0.742590384977376,0.95,0.832646075576036,0.59,0.616517857142858,0.05,0.48689246675561,0.713481228668942,0.95
2014,0.407666041671635,0.403692996167295,0.883051030817519,0.524066166979253,0.95,0.05,0.43944063829635,0.47522207327245,0.362961029923452,0.275856580304877
2015,0.95,0.403692996167295,0.95,0.481839204337851,0.95,0.05,0.43944063829635,0.47522207327245,0.362961029923452,0.375138495435446
2016,0.05,0.403692996167295,0.95,0.375252166683532,0.95,0.05,0.512741975381507,0.47522207327245,0.362961029923452,0.439783941026186
2017,0.05,0.403692996167295,0.95,0.199219918138429,0.95,0.05,0.539958755062019,0.47522207327245,0.362961029923452,0.505668315720887
2018,0.36286997011424,0.403692996167295,0.95,0.134928182994493,0.95,0.0642857142857147,0.54830173004469,0.47522207327245,0.362961029923452,0.552136668010774
2019,0.550332562247314,0.403692996167295,0.735752804488154,0.488216319298273,0.86,0.178571428571429,0.546022557236064,0.47522207327245,0.362961029923452,0.600553114264113
2020,0.484357716190497,0.403692996167295,0.737495334556635,0.561441858225453,0.77,0.289285714285715,0.553209286992537,0.47522207327245,0.362961029923452,0.647233521063993
2021,0.621459348161364,0.403692996167295,0.787264160287151,0.731320338143716,0.71,0.396428571428572,0.511704547871099,0.47522207327245,0.362961029923452,0.702843906852594
2022,0.511403846253628,0.403692996167295,0.847256761719575,0.665826652415496,0.65,0.501,0.500079529856032,0.47522207327245,0.362961029923452,0.752974374129371
2023,0.490369488713524,0.403692996167295,0.748470728944261,0.670896817584676,0.59,0.616517857142858,0.44246397941267,0.47522207327245,0.362961029923452,0.806285435531495
